"quart_start","quarter","type","n_tiles","avg_d_mbps","avg_u_mbps","tests","country"
2019-01-01,"Q1","fixed",33869,16.2275246917775,10.059211152526,603379,"IDN"
2019-04-01,"Q2","fixed",34736,17.0632990375227,10.3715007492338,589936,"IDN"
2019-07-01,"Q3","fixed",72479,16.173702895265,10.0805463033996,1338703,"IDN"
2019-10-01,"Q4","fixed",110826,15.5556978134974,9.21661248948369,3594416,"IDN"
2020-01-01,"Q1","fixed",115480,15.8018129509941,9.13502273684368,3730509,"IDN"
2020-04-01,"Q2","fixed",129710,15.825488966901,8.52293317135756,5720197,"IDN"
2020-07-01,"Q3","fixed",138825,16.2764440437539,9.18433447366187,5641649,"IDN"
2020-10-01,"Q4","fixed",144309,16.5134218431316,9.098600249846,5219215,"IDN"
2021-01-01,"Q1","fixed",151313,17.6794822063541,9.75286147399496,5689531,"IDN"
2021-04-01,"Q2","fixed",152148,20.0325519937485,10.4729750902355,4879452,"IDN"
2021-07-01,"Q3","fixed",163735,20.372873645254,11.0908551488164,6302565,"IDN"
2021-10-01,"Q4","fixed",160749,22.0693963186861,12.9239552149467,5040320,"IDN"
2022-01-01,"Q1","fixed",160594,22.8486604554468,14.260785775981,5050162,"IDN"
2022-04-01,"Q2","fixed",161907,22.4779953168772,14.9000222960695,4703699,"IDN"
2019-01-01,"Q1","mobile",120183,10.4282975841983,8.8219075253781,1646203,"IDN"
2019-04-01,"Q2","mobile",139044,10.9041209672747,9.50718613036554,1829594,"IDN"
2019-07-01,"Q3","mobile",135346,12.0816251549003,10.5035332634209,1768880,"IDN"
2019-10-01,"Q4","mobile",131408,13.7257979169393,11.4189895434337,1696446,"IDN"
2020-01-01,"Q1","mobile",126740,14.40613197474,10.4496923269589,1481238,"IDN"
2020-04-01,"Q2","mobile",139378,14.8080421583257,10.2394955326133,1825452,"IDN"
2020-07-01,"Q3","mobile",152178,16.3550039135288,11.133081708472,1890110,"IDN"
2020-10-01,"Q4","mobile",157580,16.3796223751354,11.8464632526836,1903622,"IDN"
2021-01-01,"Q1","mobile",158629,16.899012730197,12.3293235241594,1825502,"IDN"
2021-04-01,"Q2","mobile",159351,19.6855044689804,12.9147372877532,1595666,"IDN"
2021-07-01,"Q3","mobile",164740,21.0435649594614,13.0493588072817,1903618,"IDN"
2021-10-01,"Q4","mobile",169143,21.7391641990871,12.7779610316954,1864310,"IDN"
2022-01-01,"Q1","mobile",162211,23.4268756395629,13.2309299149384,1686308,"IDN"
2022-04-01,"Q2","mobile",172986,23.2490113482493,13.5512604448643,1729606,"IDN"
