"quart_start","quarter","type","n_tiles","avg_d_mbps","avg_u_mbps","tests","country"
2019-01-01,"Q1","fixed",32966,16.3001178071177,10.0423330308114,589489,"IDN"
2019-04-01,"Q2","fixed",33843,17.1281616678961,10.3498673139553,574808,"IDN"
2019-07-01,"Q3","fixed",70953,16.188661894537,10.0351298310755,1310526,"IDN"
2019-10-01,"Q4","fixed",108505,15.5549947217139,9.17277492741682,3522166,"IDN"
2020-01-01,"Q1","fixed",113239,15.7820670268572,9.07584037366584,3661025,"IDN"
2020-04-01,"Q2","fixed",127387,15.8126624033502,8.49821869531324,5646934,"IDN"
2020-07-01,"Q3","fixed",136243,16.2647236590597,9.16056940385703,5571650,"IDN"
2020-10-01,"Q4","fixed",141541,16.5016847335089,9.07118576254188,5149009,"IDN"
2021-01-01,"Q1","fixed",148401,17.642820257699,9.71232005506169,5606076,"IDN"
2021-04-01,"Q2","fixed",149229,20.0026009339876,10.4432885177285,4806488,"IDN"
2021-07-01,"Q3","fixed",160682,20.3591822684527,11.0802279514163,6217066,"IDN"
2021-10-01,"Q4","fixed",157675,22.0599385523523,12.9043975564466,4966374,"IDN"
2022-01-01,"Q1","fixed",157469,22.8346441893842,14.2357385959412,4972769,"IDN"
2022-04-01,"Q2","fixed",158651,22.4578468951894,14.8709658310723,4621860,"IDN"
2019-01-01,"Q1","mobile",117256,10.3972285528531,8.80669658851133,1616567,"IDN"
2019-04-01,"Q2","mobile",135627,10.8687261532709,9.48496875760383,1791860,"IDN"
2019-07-01,"Q3","mobile",131882,12.0529993090989,10.4876913478632,1732520,"IDN"
2019-10-01,"Q4","mobile",128005,13.6630162799752,11.3913407337428,1656575,"IDN"
2020-01-01,"Q1","mobile",123550,14.335360853527,10.4247336535623,1449796,"IDN"
2020-04-01,"Q2","mobile",136188,14.7808553696378,10.2253031192187,1796732,"IDN"
2020-07-01,"Q3","mobile",148495,16.3440528403299,11.1241108789168,1857161,"IDN"
2020-10-01,"Q4","mobile",153730,16.3661259009703,11.8314839784362,1867015,"IDN"
2021-01-01,"Q1","mobile",154905,16.8777537495634,12.3217396019071,1795209,"IDN"
2021-04-01,"Q2","mobile",155564,19.6628843438496,12.9140198386051,1566592,"IDN"
2021-07-01,"Q3","mobile",160704,21.0172234106764,13.0534080370083,1870497,"IDN"
2021-10-01,"Q4","mobile",164862,21.6924113785091,12.769473154744,1829150,"IDN"
2022-01-01,"Q1","mobile",158081,23.3997246692971,13.2334191664933,1653448,"IDN"
2022-04-01,"Q2","mobile",168208,23.2104070691328,13.5402736822104,1689401,"IDN"
